home,score,away,date,location,home_gols,away_gols
Brazil ,6–5 (a.e.t.), Poland,5 June 1938 (1938-06-05),"Stade de la Meinau, Strasbourg","[""Leônidas  18', 93', 104'Romeu  25'Perácio  44', 71'""]","[""Scherfke  23'(pen.)Wilimowski  53', 59', 89', 118'""]"
Czechoslovakia ,3–0 (a.e.t.), Netherlands,5 June 1938,"Stade municipal, Le Havre","[""Košťálek  93'Zeman  111'Nejedlý  118'""]",[]
Switzerland ,4–2, Germany,9 June 1938,"Parc des Princes, Paris","[""Walaschek  42'Bickel  64'Abegglen  75', 78'""]","[""Hahnemann  8'Lörtscher  22'(o.g.)""]"
Cuba ,2–1, Romania,9 June 1938,"Stade du T.O.E.C., Toulouse","[""Socorro  51'Fernández  57'""]","[""Dobay  35'""]"
Hungary ,2–0, Switzerland,12 June 1938,"Stade Victor Boucquey, Lille","[""Sárosi  40'Zsengellér  89'[c]""]",[]
Sweden ,8–0, Cuba,12 June 1938,"Stade du Fort Carré, Antibes","[""H. Andersson  9', 81', 89'[d]Wetterström  22', 37', 44'Keller  80'[e]Nyberg  84'[f]""]",[]
Italy ,3–1, France,12 June 1938,"Stade Olympique de Colombes, Colombes","[""Colaussi  9'Piola  51', 72'""]","[""Heisserer  10'""]"
Brazil ,1–1 (a.e.t.), Czechoslovakia,12 June 1938,"Parc Lescure, Bordeaux","[""Leônidas  30'""]","[""Nejedlý  65'(pen.)""]"
Brazil ,2–1, Czechoslovakia,14 June 1938,"Parc Lescure, Bordeaux","[""Leônidas  57'Roberto  62'[g]""]","[""Kopecký  25'""]"
Hungary ,5–1, Sweden,16 June 1938,"Parc des Princes, Paris","[""Jacobsson  19'(o.g.)Titkos  37'Zsengellér  39', 85'Sárosi  65'""]","[""Nyberg  1'""]"
Italy ,2–1, Brazil,16 June 1938,"Stade Vélodrome, Marseille","[""Colaussi  51'Meazza  60'(pen.)""]","[""Romeu  87'""]"
Brazil ,4–2, Sweden,19 June 1938,"Parc Lescure, Bordeaux","[""Romeu  44'Leônidas  63', 74'Perácio  80'""]","[""Jonasson  28'Nyberg  38'""]"
Italy ,4–2, Hungary,19 June 1938,"Stade Olympique de Colombes, Paris","[""Colaussi  6', 35'Piola  16', 82'""]","[""Titkos  8'Sárosi  70'""]"
Brazil ,4–0, Mexico,24 June 1950,"Estádio do Maracanã, Rio de Janeiro","[""Ademir  30', 79'Jair  65'Baltazar  71'""]",[]
Yugoslavia ,3–0, Switzerland,25 June 1950,"Estádio Independência, Belo Horizonte","[""Mitić  59'Tomašević  70'Ognjanov  84'""]",[]
Brazil ,2–2, Switzerland,28 June 1950,"Estádio do Pacaembu, São Paulo","[""Alfredo  3'Baltazar  32'""]","[""Fatton  17', 88'""]"
Yugoslavia ,4–1, Mexico,28 June 1950,"Estádio dos Eucaliptos, Porto Alegre","[""Bobek  20'Ž. Čajkovski  23', 51'Tomašević  81'""]","[""Ortiz  89'(pen.)""]"
Brazil ,2–0, Yugoslavia,1 July 1950,"Estádio do Maracanã, Rio de Janeiro","[""Ademir  4'Zizinho  69'""]",[]
Switzerland ,2–1, Mexico,2 July 1950,"Estádio dos Eucaliptos, Porto Alegre","[""Bader  10'Antenen  44'""]","[""Casarín  89'""]"
England ,2–0, Chile,25 June 1950,"Estádio do Maracanã, Rio de Janeiro","[""Mortensen  39'Mannion  51'""]",[]
Spain ,3–1, United States,25 June 1950,"Estádio Durival de Britto, Curitiba","[""Igoa  81'Basora  83'Zarra  89'""]","[""Pariani  17'""]"
Spain ,2–0, Chile,29 June 1950,"Estádio do Maracanã, Rio de Janeiro","[""Basora  17'Zarra  30'""]",[]
United States ,1–0, England,29 June 1950,"Estádio Independência, Belo Horizonte","[""Gaetjens  38'""]",[]
Spain ,1–0, England,2 July 1950,"Estádio do Maracanã, Rio de Janeiro","[""Zarra  48'""]",[]
Chile ,5–2, United States,2 July 1950,"Estádio Ilha do Retiro, Recife","[""Robledo  16'Cremaschi  32', 60'Prieto  54'Riera  82'""]","[""Wallace  47'Maca  48'(pen.)""]"
Sweden ,3–2, Italy,25 June 1950,"Estádio do Pacaembu, São Paulo","[""Jeppson  25', 68'Andersson  33'""]","[""Carapellese  7'Muccinelli  75'""]"
