home,score,away,date,location,home_gols,away_gols
Hungary ,3–1, Brazil,15 July 1966,"Goodison Park, Liverpool","[""Bene  2'Farkas  64'Mészöly  73'(pen.)""]","[""Tostão  14'""]"
Portugal ,3–0, Bulgaria,16 July 1966,"Old Trafford, Manchester","[""Vutsov  7'(o.g.)Eusébio  38'Torres  81'""]",[]
Portugal ,3–1, Brazil,19 July 1966,"Goodison Park, Liverpool","[""Simões  15'Eusébio  27', 85'""]","[""Rildo  73'""]"
Hungary ,3–1, Bulgaria,20 July 1966,"Old Trafford, Manchester","[""Davidov  43'(o.g.)Mészöly  45'Bene  54'""]","[""Asparuhov  15'""]"
Soviet Union ,3–0, North Korea,12 July 1966,"Ayresome Park, Middlesbrough","[""Malofeyev  31', 88'Banishevskiy  33'""]",[]
Italy ,2–0, Chile,13 July 1966,"Roker Park, Sunderland","[""Mazzola  8'Barison  88'""]",[]
Chile ,1–1, North Korea,15 July 1966,"Ayresome Park, Middlesbrough","[""Marcos  26'(pen.)""]","[""Pak Seung-zin  88'""]"
Soviet Union ,1–0, Italy,16 July 1966,"Roker Park, Sunderland","[""Chislenko  57'""]",[]
North Korea ,1–0, Italy,19 July 1966,"Ayresome Park, Middlesbrough","[""Pak Doo-ik  42'""]",[]
Soviet Union ,2–1, Chile,20 July 1966,"Roker Park, Sunderland","[""Porkuyan  28', 85'""]","[""Marcos  32'""]"
England ,1–0, Argentina,23 July 1966,"Wembley Stadium, London","[""Hurst  78'""]",[]
West Germany ,4–0, Uruguay,23 July 1966,"Hillsborough Stadium, Sheffield","[""Haller  11', 83'Beckenbauer  70'Seeler  75'""]",[]
Soviet Union ,2–1, Hungary,23 July 1966,"Roker Park, Sunderland","[""Chislenko  5'Porkuyan  46'""]","[""Bene  57'""]"
Portugal ,5–3, North Korea,23 July 1966,"Goodison Park, Liverpool","[""Eusébio  27', 43'(pen.), 56', 59'(pen.)José Augusto  80'""]","[""Pak Seung-zin  1'Li Dong-woon  22'Yang Seung-kook  25'""]"
West Germany ,2–1, Soviet Union,25 July 1966,"Goodison Park, Liverpool","[""Haller  43'Beckenbauer  67'""]","[""Porkuyan  88'""]"
England ,2–1, Portugal,26 July 1966,"Wembley Stadium, London","[""B. Charlton  30', 80'""]","[""Eusébio  82'(pen.)""]"
Portugal ,2–1, Soviet Union,28 July 1966,"Wembley Stadium, London","[""Eusébio  12'(pen.)Torres  89'""]","[""Malofeyev  43'""]"
England ,4–2 (a.e.t.), West Germany,30 July 1966,"Wembley Stadium, London","[""Hurst  18', 101', 120'"", ""Peters  78'""]","[""Haller  12'"", ""Weber  89'""]"
Soviet Union ,0–1 (a.e.t.), Uruguay,14 June 1970,"Estadio Azteca, Mexico City",[],"[""Espárrago  117'""]"
Italy ,4–1, Mexico,14 June 1970,"Estadio Luis Dosal, Toluca","[""Guzmán  25'(o.g.)Riva  63', 76'Rivera  70'""]","[""González  13'""]"
Brazil ,4–2, Peru,14 June 1970,"Estadio Jalisco, Guadalajara","[""Rivellino  11'Tostão  15', 52'Jairzinho  75'""]","[""Gallardo  28'Cubillas  70'""]"
West Germany ,3–2 (a.e.t.), England,14 June 1970,"Estadio Nou Camp, León","[""Beckenbauer  68'Seeler  82'Müller  108'""]","[""Mullery  31'Peters  49'""]"
Uruguay ,1–3, Brazil,17 June 1970,"Estadio Jalisco, Guadalajara","[""Cubilla  19'""]","[""Clodoaldo  44'Jairzinho  76'Rivellino  89'""]"
Italy ,4–3 (a.e.t.), West Germany,17 June 1970,"Estadio Azteca, Mexico City","[""Boninsegna  8'Burgnich  98'Riva  104'Rivera  111'""]","[""Schnellinger  90'Müller  94', 110'""]"
Uruguay ,0–1, West Germany,20 June 1970,"Estadio Azteca, Mexico City",[],"[""Overath  26'""]"
Brazil ,4–1, Italy,21 June 1970,"Estadio Azteca, Mexico City","[""Pelé  18'Gérson  65'Jairzinho  71'Carlos Alberto  86'""]","[""Boninsegna  37'""]"
Brazil ,0–1, Poland,6 July 1974,"Olympiastadion, Munich",[],"[""Lato  76'""]"
Netherlands ,1–2, West Germany,7 July 1974,"Olympiastadion, Munich","[""Neeskens  2'(pen.)""]","[""Breitner  25'(pen.)Müller  43'""]"
Brazil ,2–1, Italy,24 June 1978,"Estadio Monumental, Buenos Aires","[""Nelinho  64'Dirceu  71'""]","[""Causio  38'""]"
Argentina ,3–1 (a.e.t.), Netherlands,25 June 1978,"Estadio Monumental, Buenos Aires","[""Kempes  38', 105'Bertoni  115'""]","[""Nanninga  82'""]"
Poland ,0–2, Italy,8 July 1982,"Camp Nou, Barcelona",[],"[""Rossi  22', 73'""]"
West Germany ,3–3 (a.e.t.), France,8 July 1982,"Ramón Sánchez Pizjuán Stadium, Seville","[""Littbarski  17'Rummenigge  102'Fischer  108'""]","[""Platini  26'(pen.)Trésor  92'Giresse  98'""]"
Poland ,3–2, France,10 July 1982,"Estadio José Rico Pérez, Alicante","[""Szarmach  40'Majewski  44'Kupcewicz  46'""]","[""Girard  13'Couriol  72'""]"
Italy ,3–1, West Germany,11 July 1982,"Santiago Bernabéu, Madrid","[""Rossi  57'Tardelli  69'Altobelli  81'""]","[""Breitner  83'""]"
Mexico ,2–0, Bulgaria,15 June 1986,"Estadio Azteca, Mexico City","[""Negrete  34'Servín  61'""]",[]
Soviet Union ,3–4 (a.e.t.), Belgium,15 June 1986,"Estadio Nou Camp, León","[""Belanov  27', 70', 111'(pen.)""]","[""Scifo  56'Ceulemans  77'Demol  102'Claesen  110'""]"
Brazil ,4–0, Poland,16 June 1986,"Estadio Jalisco, Guadalajara","[""Sócrates  30'(pen.)Josimar  55'Edinho  79'Careca  83'(pen.)""]",[]
Argentina ,1–0, Uruguay,16 June 1986,"Estadio Cuauhtémoc, Puebla","[""Pasculli  42'""]",[]
Italy ,0–2, France,17 June 1986,"Estadio Olímpico Universitario, Mexico City",[],"[""Platini  15'Stopyra  57'""]"
Morocco ,0–1, West Germany,17 June 1986,"Estadio Universitario, San Nicolás de los Garza",[],"[""Matthäus  88'""]"
England ,3–0, Paraguay,18 June 1986,"Estadio Azteca, Mexico City","[""Lineker  31', 73'Beardsley  56'""]",[]
Denmark ,1–5, Spain,18 June 1986,"Estadio La Corregidora, Querétaro","[""J. Olsen  33'(pen.)""]","[""Butragueño  43', 56', 80', 88'(pen.)Goikoetxea  68'(pen.)""]"
Brazil ,1–1 (a.e.t.), France,21 June 1986,"Estadio Jalisco, Guadalajara","[""Careca  17'""]","[""Platini  40'""]"
West Germany ,0–0 (a.e.t.), Mexico,21 June 1986,"Estadio Universitario, San Nicolás de los Garza",[],[]
Argentina ,2–1, England,22 June 1986,"Estadio Azteca, Mexico City","[""Maradona  51', 55'""]","[""Lineker  81'""]"
Spain ,1–1 (a.e.t.), Belgium,22 June 1986,"Estadio Cuauhtémoc, Puebla","[""Señor  85'""]","[""Ceulemans  35'""]"
France ,0–2, West Germany,25 June 1986,"Estadio Jalisco, Guadalajara",[],"[""Brehme  9'Völler  89'""]"
Argentina ,2–0, Belgium,25 June 1986,"Estadio Azteca, Mexico City","[""Maradona  51', 63'""]",[]
Belgium ,2–4 (a.e.t.), France,28 June 1986,"Estadio Cuauhtémoc, Puebla","[""Ceulemans  11'Claesen  73'""]","[""Ferreri  27'Papin  43'Genghini  104'Amoros  111'(pen.)""]"
Argentina ,3–2, West Germany,29 June 1986,"Estadio Azteca, Mexico City","[""Brown  23'Valdano  55'Burruchaga  83'""]","[""Rummenigge  74'Völler  80'""]"
Cameroon ,2–1 (a.e.t.), Colombia,23 June 1990,"Stadio San Paolo, Naples","[""Milla  106', 108'""]","[""Redín  115'""]"
Czechoslovakia ,4–1, Costa Rica,23 June 1990,"Stadio San Nicola, Bari","[""Skuhravý  12', 63', 82'Kubík  76'""]","[""González  55'""]"
Brazil ,0–1, Argentina,24 June 1990,"Stadio Delle Alpi, Turin",[],"[""Caniggia  81'""]"
West Germany ,2–1, Netherlands,24 June 1990,"San Siro, Milan","[""Klinsmann  51'Brehme  85'""]","[""R. Koeman  89'(pen.)""]"
Republic of Ireland ,0–0 (a.e.t.), Romania,25 June 1990,"Stadio Luigi Ferraris, Genoa",[],[]
Italy ,2–0, Uruguay,25 June 1990,"Stadio Olimpico, Rome","[""Schillaci  65'Serena  83'""]",[]
Spain ,1–2 (a.e.t.), Yugoslavia,26 June 1990,"Stadio Marc'Antonio Bentegodi, Verona","[""Julio Salinas  84'""]","[""Stojković  78', 93'""]"
England ,1–0 (a.e.t.), Belgium,26 June 1990,"Stadio Renato Dall'Ara, Bologna","[""Platt  119'""]",[]
Argentina ,0–0 (a.e.t.), Yugoslavia,30 June 1990,"Stadio Comunale, Florence",[],[]
Republic of Ireland ,0–1, Italy,30 June 1990,"Stadio Olimpico, Rome",[],"[""Schillaci  38'""]"
Czechoslovakia ,0–1, West Germany,1 July 1990,"San Siro, Milan",[],"[""Matthäus  25'(pen.)""]"
Cameroon ,2–3 (a.e.t.), England,1 July 1990,"Stadio San Paolo, Naples","[""Kundé  61'(pen.)Ekéké  65'""]","[""Platt  25'Lineker  83'(pen.), 105'(pen.)""]"
Argentina ,1–1 (a.e.t.), Italy,3 July 1990,"Stadio San Paolo, Naples","[""Caniggia  67'""]","[""Schillaci  17'""]"
West Germany ,1–1 (a.e.t.), England,4 July 1990,"Stadio delle Alpi, Turin","[""Brehme  60'""]","[""Lineker  80'""]"
Italy ,2–1, England,7 July 1990,"Stadio San Nicola, Bari","[""Baggio  71'Schillaci  86'(pen.)""]","[""Platt  81'""]"
West Germany ,1–0, Argentina,8 July 1990,"Stadio Olimpico, Rome","[""Brehme  85'(pen.)""]",[]
Germany ,3–2, Belgium,"July 2, 1994","Soldier Field, Chicago","[""Völler  6', 38'Klinsmann  11'""]","[""Grün  8'Albert  90'""]"
Spain ,3–0, Switzerland,"July 2, 1994","RFK Stadium, Washington","[""Hierro  15'Luis Enrique  74'Begiristain  86'(pen.)""]",[]
Saudi Arabia ,1–3, Sweden,"July 3, 1994","Cotton Bowl, Dallas","[""Al-Ghesheyan  85'""]","[""Dahlin  6'K. Andersson  51', 88'""]"
Romania ,3–2, Argentina,"July 3, 1994","Rose Bowl, Pasadena","[""Dumitrescu  11', 18'Hagi  58'""]","[""Batistuta  16'(pen.)Balbo  75'""]"
Netherlands ,2–0, Republic of Ireland,"July 4, 1994","Citrus Bowl, Orlando","[""Bergkamp  11'Jonk  41'""]",[]
Brazil ,1–0, United States,"July 4, 1994","Stanford Stadium, Stanford","[""Bebeto  72'""]",[]
Nigeria ,1–2 (a.e.t.), Italy,"July 5, 1994","Foxboro Stadium, Foxborough","[""Amunike  25'""]","[""R. Baggio  88', 102'(pen.)""]"
Mexico ,1–1 (a.e.t.), Bulgaria,"July 5, 1994","Giants Stadium, East Rutherford","[""García Aspe  18'(pen.)""]","[""Stoichkov  6'""]"
Italy ,2–1, Spain,"July 9, 1994","Foxboro Stadium, Foxborough","[""D. Baggio  25'R. Baggio  88'""]","[""Caminero  58'""]"
Netherlands ,2–3, Brazil,"July 9, 1994","Cotton Bowl, Dallas","[""Bergkamp  64'Winter  76'""]","[""Romário  53'Bebeto  63'Branco  81'""]"
Bulgaria ,2–1, Germany,"July 10, 1994","Giants Stadium, East Rutherford","[""Stoichkov  75'Letchkov  78'""]","[""Matthäus  47'(pen.)""]"
Romania ,2–2 (a.e.t.), Sweden,"July 10, 1994","Stanford Stadium, Stanford","[""Rǎducioiu  88', 101'""]","[""Brolin  78'K. Andersson  115'""]"
Bulgaria ,1–2, Italy,"July 13, 1994","Giants Stadium, East Rutherford","[""Stoichkov  44'(pen.)""]","[""R. Baggio  21', 25'""]"
Sweden ,0–1, Brazil,"July 13, 1994","Rose Bowl, Pasadena",[],"[""Romário  80'""]"
Sweden ,4–0, Bulgaria,"July 16, 1994","Rose Bowl, Pasadena","[""Brolin  8'Mild  30'Larsson  37'K. Andersson  39'""]",[]
Brazil ,0–0 (a.e.t.), Italy,"July 17, 1994","Rose Bowl, Pasadena",[],[]
Italy ,1–0, Norway,27 June 1998,"Stade Vélodrome, Marseille","[""Vieri  18'""]",[]
Brazil ,4–1, Chile,27 June 1998,"Parc des Princes, Paris","[""César Sampaio  11', 26'Ronaldo  45+3'(pen.), 72'""]","[""Salas  70'""]"
France ,1–0 (a.e.t.), Paraguay,28 June 1998,"Stade Félix-Bollaert, Lens","[""Blanc 114' ""]",[]
Nigeria ,1–4, Denmark,28 June 1998,"Stade de France, Saint-Denis","[""Babangida  77'""]","[""Møller  3'B. Laudrup  12'Sand  58'Helveg  76'""]"
Germany ,2–1, Mexico,29 June 1998,"Stade de la Mosson, Montpellier","[""Klinsmann  74'Bierhoff  86'""]","[""Hernández  47'""]"
Netherlands ,2–1, FR Yugoslavia,29 June 1998,"Stade de Toulouse, Toulouse","[""Bergkamp  38'Davids  90+2'""]","[""Komljenović  48'""]"
Romania ,0–1, Croatia,30 June 1998,"Parc Lescure, Bordeaux",[],"[""Šuker  45+2'(pen.)""]"
Argentina ,2–2 (a.e.t.), England,30 June 1998,"Stade Geoffroy-Guichard, Saint-Étienne","[""Batistuta  5'(pen.)Zanetti  45+1'""]","[""Shearer  9'(pen.)Owen  16'""]"
Italy ,0–0 (a.e.t.), France,3 July 1998,"Stade de France, Saint-Denis",[],[]
Brazil ,3–2, Denmark,3 July 1998,"Stade de la Beaujoire, Nantes","[""Bebeto  10'Rivaldo  25', 59'""]","[""M. Jørgensen  2'B. Laudrup  50'""]"
Netherlands ,2–1, Argentina,4 July 1998,"Stade Vélodrome, Marseille","[""Kluivert  12'Bergkamp  90'""]","[""López  17'""]"
Germany ,0–3, Croatia,4 July 1998,"Stade de Gerland, Lyon",[],"[""Jarni  45+3'Vlaović  80'Šuker  85'""]"
Brazil ,1–1 (a.e.t.), Netherlands,7 July 1998,"Stade Vélodrome, Marseille","[""Ronaldo  46'""]","[""Kluivert  87'""]"
France ,2–1, Croatia,8 July 1998,"Stade de France, Saint-Denis","[""Thuram  47', 70'""]","[""Šuker  46'""]"
Netherlands ,1–2, Croatia,11 July 1998,"Parc des Princes, Paris","[""Zenden  22'""]","[""Prosinečki  14'Šuker  36'""]"
Brazil ,0–3, France,12 July 1998,"Stade de France, Saint-Denis",[],"[""Zidane  27', 45+1'Petit  90+3'""]"
France ,0–1, Senegal,31 May 2002,"Seoul World Cup Stadium, Seoul",[],"[""Bouba Diop  30'""]"
Uruguay ,1–2, Denmark,1 June 2002,"Munsu Cup Stadium, Ulsan","[""Rodríguez  47'""]","[""Tomasson  45', 83'""]"
Denmark ,1–1, Senegal,6 June 2002,"Daegu World Cup Stadium, Daegu","[""Tomasson  16'(pen.)""]","[""Diao  52'""]"
France ,0–0, Uruguay,6 June 2002,"Busan Asiad Main Stadium, Busan",[],[]
Denmark ,2–0, France,11 June 2002,"Incheon Munhak Stadium, Incheon","[""Rommedahl  22'Tomasson  67'""]",[]
Senegal ,3–3, Uruguay,11 June 2002,"Suwon World Cup Stadium, Suwon","[""Fadiga  20'(pen.)Bouba Diop  26', 38'""]","[""Morales  46'Forlán  69'Recoba  88'(pen.)""]"
Paraguay ,2–2, South Africa,2 June 2002,"Busan Asiad Main Stadium, Busan","[""Santa Cruz  39'Arce  55'""]","[""T. Mokoena  63'Fortune  90+1'(pen.)""]"
Spain ,3–1, Slovenia,2 June 2002,"Gwangju World Cup Stadium, Gwangju","[""Raúl  44'Valerón  74'Hierro  87'(pen.)""]","[""Cimirotič  82'""]"
Spain ,3–1, Paraguay,7 June 2002,"Jeonju World Cup Stadium, Jeonju","[""Morientes  53', 69'Hierro  83'(pen.)""]","[""Puyol  10'(o.g.)""]"
South Africa ,1–0, Slovenia,8 June 2002,"Daegu World Cup Stadium, Daegu","[""Nomvethe  4'""]",[]
South Africa ,2–3, Spain,12 June 2002,"Daejeon World Cup Stadium, Daejeon","[""McCarthy  31'Radebe  53'""]","[""Raúl  4', 56'Mendieta  45+1'""]"
Slovenia ,1–3, Paraguay,12 June 2002,"Jeju World Cup Stadium, Seogwipo","[""Ačimovič  45+1'""]","[""Cuevas  65', 84'Campos  73'""]"
Brazil ,2–1, Turkey,3 June 2002,"Munsu Football Stadium, Ulsan","[""Ronaldo  50'Rivaldo  87'(pen.)""]","[""Hasan Şaş  45+2'""]"
China ,0–2, Costa Rica,4 June 2002,"Gwangju World Cup Stadium, Gwangju",[],"[""Gómez  61'Wright  65'""]"
Brazil ,4–0, China,8 June 2002,"Jeju World Cup Stadium, Seogwipo","[""Roberto Carlos  15'Rivaldo  32'Ronaldinho  45'(pen.)Ronaldo  55'""]",[]
Costa Rica ,1–1, Turkey,9 June 2002,"Incheon Munhak Stadium, Incheon","[""Parks  86'""]","[""Emre B.  56'""]"
Costa Rica ,2–5, Brazil,13 June 2002,"Suwon World Cup Stadium, Suwon","[""Wanchope  39'Gómez  56'""]","[""Ronaldo  10', 13'Edmílson  38'Rivaldo  62'Júnior  64'""]"
Turkey ,3–0, China,13 June 2002,"Seoul World Cup Stadium, Seoul","[""Hasan Şaş  6'Bülent  9'Davala  85'""]",[]
South Korea ,2–0, Poland,4 June 2002,"Busan Asiad Main Stadium, Busan","[""Hwang Sun-hong  26'Yoo Sang-chul  53'""]",[]
United States ,3–2, Portugal,5 June 2002,"Suwon World Cup Stadium, Suwon","[""O'Brien  4'J. Costa  29'(o.g.)McBride  36'""]","[""Beto  39'Agoos  71'(o.g.)""]"
South Korea ,1–1, United States,10 June 2002,"Daegu World Cup Stadium, Daegu","[""Ahn Jung-hwan  78'""]","[""Mathis  24'""]"
Portugal ,4–0, Poland,10 June 2002,"Jeonju World Cup Stadium, Jeonju","[""Pauleta  14', 65', 77'Rui Costa  88'""]",[]
Portugal ,0–1, South Korea,14 June 2002,"Incheon Munhak Stadium, Incheon",[],"[""Park Ji-sung  70'""]"
Poland ,3–1, United States,14 June 2002,"Daejeon World Cup Stadium, Daejeon","[""Olisadebe  3'Kryszałowicz  5'Żewłakow  66'""]","[""Donovan  83'""]"
Republic of Ireland ,1–1, Cameroon,1 June 2002,"Niigata Stadium, Niigata","[""Holland  52'""]","[""M'Boma  39'""]"
Germany ,8–0, Saudi Arabia,1 June 2002,"Sapporo Dome, Sapporo","[""Klose  20', 25', 70'Ballack  40'Jancker  45+1'Linke  73'Bierhoff  84'Schneider  90+1'""]",[]
Germany ,1–1, Republic of Ireland,5 June 2002,"Kashima Soccer Stadium, Ibaraki","[""Klose  19'""]","[""Robbie Keane  90+2'""]"
Cameroon ,1–0, Saudi Arabia,6 June 2002,"Saitama Stadium, Saitama","[""Eto'o  66'""]",[]
Cameroon ,0–2, Germany,11 June 2002,"Ecopa Stadium, Shizuoka",[],"[""Bode  50'Klose  79'""]"
Saudi Arabia ,0–3, Republic of Ireland,11 June 2002,"International Stadium Yokohama, Yokohama",[],"[""Robbie Keane  7'Breen  61'Duff  87'""]"
Argentina ,1–0, Nigeria,2 June 2002,"Kashima Soccer Stadium, Ibaraki","[""Batistuta  63'""]",[]
England ,1–1, Sweden,2 June 2002,"Saitama Stadium, Saitama","[""Campbell  24'""]","[""Alexandersson  59'""]"
Sweden ,2–1, Nigeria,7 June 2002,"Wing Stadium, Kobe","[""Larsson  35', 63'(pen.)""]","[""Aghahowa  27'""]"
Argentina ,0–1, England,7 June 2002,"Sapporo Dome, Sapporo",[],"[""Beckham  44'(pen.)""]"
Sweden ,1–1, Argentina,12 June 2002,"Miyagi Stadium, Miyagi","[""A. Svensson  59'""]","[""Crespo  88'""]"
Nigeria ,0–0, England,12 June 2002,"Nagai Stadium, Osaka",[],[]
Croatia ,0–1, Mexico,3 June 2002,"Niigata Big Swan Stadium, Niigata",[],"[""Blanco  60'(pen.)""]"
Italy ,2–0, Ecuador,3 June 2002,"Sapporo Dome, Sapporo","[""Vieri  7', 27'""]",[]
Italy ,1–2, Croatia,8 June 2002,"Kashima Soccer Stadium, Ibaraki","[""Vieri  55'""]","[""Olić  73'Rapaić  76'""]"
Mexico ,2–1, Ecuador,9 June 2002,"Miyagi Stadium, Miyagi","[""Borgetti  28'Torrado  57'""]","[""Delgado  5'""]"
Mexico ,1–1, Italy,13 June 2002,"Ōita Big Eye Stadium, Ōita","[""Borgetti  34'""]","[""Del Piero  85'""]"
Ecuador ,1–0, Croatia,13 June 2002,"International Stadium Yokohama, Yokohama","[""Méndez  48'""]",[]
Japan ,2–2, Belgium,4 June 2002,"Saitama Stadium, Saitama","[""Suzuki  59'Inamoto  67'""]","[""Wilmots  57'Van Der Heyden  75'""]"
Russia ,2–0, Tunisia,5 June 2002,"Kobe Wing Stadium, Kobe","[""Titov  59'Karpin  64'(pen.)""]",[]
Japan ,1–0, Russia,9 June 2002,"International Stadium Yokohama, Yokohama","[""Inamoto  51'""]",[]
Tunisia ,1–1, Belgium,10 June 2002,"Ōita Big Eye Stadium, Ōita","[""Bouzaiene  17'""]","[""Wilmots  13'""]"
Tunisia ,0–2, Japan,14 June 2002,"Nagai Stadium, Osaka",[],"[""Morishima  48'H. Nakata  75'""]"
Belgium ,3–2, Russia,14 June 2002,"Shizuoka Ecopa Stadium, Fukuroi, Shizuoka","[""Walem  7'Sonck  78'Wilmots  82'""]","[""Beschastnykh  52'Sychev  88'""]"
Germany ,1–0, Paraguay,15 June 2002,"Jeju World Cup Stadium, Seogwipo","[""Neuville  88'""]",[]
Denmark ,0–3, England,15 June 2002,"Big Swan Stadium, Niigata",[],"[""Ferdinand  5'Owen  22'Heskey  44'""]"
Sweden ,1–2 (a.e.t.), Senegal,16 June 2002,"Big Eye Stadium, Ōita","[""Larsson  11'""]","[""Camara  37', 104' ""]"
Spain ,1–1 (a.e.t.), Republic of Ireland,16 June 2002,"Suwon World Cup Stadium, Suwon","[""Morientes  8'""]","[""Robbie Keane  90'(pen.)""]"
Mexico ,0–2, United States,17 June 2002,"Jeonju World Cup Stadium, Jeonju",[],"[""McBride  8'Donovan  65'""]"
Brazil ,2–0, Belgium,17 June 2002,"Kobe Wing Stadium, Kobe","[""Rivaldo  67'Ronaldo  87'""]",[]
Japan ,0–1, Turkey,18 June 2002,"Miyagi Stadium, Rifu",[],"[""Ümit Davala  12'""]"
South Korea ,2–1 (a.e.t.), Italy,18 June 2002,"Daejeon World Cup Stadium, Daejeon","[""Seol Ki-Hyeon  88'Ahn Jung-Hwan 117' ""]","[""Vieri  18'""]"
England ,1–2, Brazil,21 June 2002,"Stadium Ecopa, Shizuoka","[""Owen  23'""]","[""Rivaldo  45+2'Ronaldinho  50'""]"
Germany ,1–0, United States,21 June 2002,"Munsu Cup Stadium, Ulsan","[""Ballack  39'""]",[]
Spain ,0–0 (a.e.t.), South Korea,22 June 2002,"Gwangju World Cup Stadium, Gwangju",[],[]
Senegal ,0–1 (a.e.t.), Turkey,22 June 2002,"Nagai Stadium, Osaka",[],"[""İlhan 94' ""]"
Germany ,1–0, South Korea,25 June 2002,"Seoul World Cup Stadium, Seoul","[""Ballack  75'""]",[]
Brazil ,1–0, Turkey,26 June 2002,"Saitama Stadium, Saitama","[""Ronaldo  49'""]",[]
South Korea ,2–3, Turkey,29 June 2002,"Daegu World Cup Stadium, Daegu","[""Lee Eul-yong  9'Song Chong-gug  90+3'""]","[""Şükür  1'İlhan  13', 32'""]"
Germany ,0–2, Brazil,30 June 2002,"International Stadium Yokohama, Yokohama",[],"[""Ronaldo  67', 79'""]"
Germany ,2–0, Sweden,24 June 2006,"FIFA World Cup Stadium, Munich","[""Podolski  4', 12'""]",[]
Argentina ,2–1 (a.e.t.), Mexico,24 June 2006,"Zentralstadion, Leipzig","[""Crespo  10'"", ""Rodríguez  98'""]","[""Márquez  6'""]"
England ,1–0, Ecuador,25 June 2006,"Gottlieb-Daimler-Stadion, Stuttgart","[""Beckham  60'""]",[]
Portugal ,1–0, Netherlands,25 June 2006,"Frankenstadion, Nuremberg","[""Maniche  23'""]",[]
Italy ,1–0, Australia,26 June 2006,"Fritz-Walter-Stadion, Kaiserslautern","[""Totti  90+5'(pen.)""]",[]
Switzerland ,0–0 (a.e.t.), Ukraine,26 June 2006,"RheinEnergieStadion, Cologne",[],[]
Brazil ,3–0, Ghana,27 June 2006,"Westfalenstadion, Dortmund","[""Ronaldo  5'"", ""Adriano  45+1'"", ""Zé Roberto  84'""]",[]
Spain ,1–3, France,27 June 2006,"Niedersachsenstadion, Hanover","[""Villa  28'(pen.)""]","[""Ribéry  41'"", ""Vieira  83'"", ""Zidane  90+2'""]"
Germany ,1–1 (a.e.t.), Argentina,30 June 2006,"Olympiastadion, Berlin","[""Klose  80'""]","[""Ayala  49'""]"
Italy ,3–0, Ukraine,30 June 2006,"Volksparkstadion, Hamburg","[""Zambrotta  6'"", ""Toni  59', 69'""]",[]
England ,0–0 (a.e.t.), Portugal,1 July 2006,"Arena AufSchalke, Gelsenkirchen",[],[]
Brazil ,0–1, France,1 July 2006,"Waldstadion, Frankfurt",[],"[""Henry  57'""]"
Germany ,0–2 (a.e.t.), Italy,4 July 2006,"Westfalenstadion, Dortmund",[],"[""Grosso  119'"", ""Del Piero  120+1'""]"
Portugal ,0–1, France,5 July 2006,"Allianz Arena, Munich",[],"[""Zidane  33'(pen.)""]"
Germany ,3–1, Portugal,8 July 2006,"Gottlieb-Daimler-Stadion, Stuttgart","[""Schweinsteiger  56', 78'"", ""Petit  60'(o.g.)""]","[""Nuno Gomes  88'""]"
Italy ,1–1 (a.e.t.), France,9 July 2006,"Olympiastadion, Berlin","[""Materazzi  19'""]","[""Zidane  7'(pen.)""]"
South Africa ,1–1, Mexico,11 June 2010,"Soccer City, Johannesburg","[""Tshabalala  55'""]","[""Márquez  79'""]"
Uruguay ,0–0, France,11 June 2010,"Cape Town Stadium, Cape Town",[],[]
South Africa ,0–3, Uruguay,16 June 2010,"Loftus Versfeld Stadium, Pretoria",[],"[""Forlán  24', 80'(pen.)"", ""Á. Pereira  90+5'""]"
France ,0–2, Mexico,17 June 2010,"Peter Mokaba Stadium, Polokwane",[],"[""Hernández  64'"", ""Blanco  79'(pen.)""]"
Mexico ,0–1, Uruguay,22 June 2010,"Royal Bafokeng Stadium, Rustenburg",[],"[""Suárez  43'""]"
France ,1–2, South Africa,22 June 2010,"Free State Stadium, Bloemfontein","[""Malouda  70'""]","[""Khumalo  20'"", ""Mphela  37'""]"
South Korea ,2–0, Greece,12 June 2010,"Nelson Mandela Bay Stadium, Port Elizabeth","[""Lee Jung-soo  7'"", ""Park Ji-sung  52'""]",[]
Argentina ,1–0, Nigeria,12 June 2010,"Ellis Park Stadium, Johannesburg","[""Heinze  6'""]",[]
Argentina ,4–1, South Korea,17 June 2010,"Soccer City, Johannesburg","[""Park Chu-young  17'(o.g.)"", ""Higuaín  33', 76', 80'""]","[""Lee Chung-yong  45+1'""]"
Greece ,2–1, Nigeria,17 June 2010,"Free State Stadium, Bloemfontein","[""Salpingidis  44'"", ""Torosidis  71'""]","[""Uche  16'""]"
Nigeria ,2–2, South Korea,22 June 2010,"Moses Mabhida Stadium, Durban","[""Uche  12'"", ""Yakubu  69'(pen.)""]","[""Lee Jung-soo  38'"", ""Park Chu-young  49'""]"
Greece ,0–2, Argentina,22 June 2010,"Peter Mokaba Stadium, Polokwane",[],"[""Demichelis  77'"", ""Palermo  89'""]"
England ,1–1, United States,12 June 2010,"Royal Bafokeng Stadium, Rustenburg","[""Gerrard  4'""]","[""Dempsey  40'""]"
Algeria ,0–1, Slovenia,13 June 2010,"Peter Mokaba Stadium, Polokwane",[],"[""Koren  79'""]"
Slovenia ,2–2, United States,18 June 2010,"Ellis Park Stadium, Johannesburg","[""Birsa  13'"", ""Ljubijankić  42'""]","[""Donovan  48'"", ""Bradley  82'""]"
England ,0–0, Algeria,18 June 2010,"Cape Town Stadium, Cape Town",[],[]
